No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,lattitude,Longitude
10,20219824.0,SD PLUS AL GHIFARI,Jl. Cisaranten Kulon No. 140,Cisaranten Kulon,SWASTA,26013,SD,Arcamanik,"Jl. Cisaranten Kulon No. 140, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9335011,107.6793571","Jl. Cisaranten Kulon No.140, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9335011,107.6793571
11,70003403.0,SD RABBANI,Jalan Jati,Cisaranten Kulon,SWASTA,26013,SD,Arcamanik,"Jalan Jati, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.911245,107.7066895","Jl. Jati, Pasirjati, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40616, Indonesia",-6.911245,107.7066895
12,20219828.0,SD RANCAKASUMBA,Jl. Sumbersari No. 104,Cisaranten Kulon,SWASTA,26013,SD,Arcamanik,"Jl. Sumbersari No. 104, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9339537,107.6798482","Jl. Sumber Sari No.104, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9339537,107.6798482
13,20245530.0,SDN 004 CISARANTEN KULON KOTA BANDUNG,Jl. Cisaranten Kulon No.129,Cisaranten Kulon,NEGERI,26013,SD,Arcamanik,"Jl. Cisaranten Kulon No.129, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9246991,107.6836757","Jl. Cisaranten Kulon No.129, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9246991,107.6836757
14,20245481.0,SDN 057 BINAHARAPAN KOTA BANDUNG,Jl. Golf Selatan I No.26,Cisaranten Bina Harapan,NEGERI,26013,SD,Arcamanik,"Jl. Golf Selatan I No.26, Kel. Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.915142599999999,107.685561","Jl. Golf Sel. I No.26, Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat 40294, Indonesia",-6.9151426,107.685561
15,20245795.0,SDN 101 SUKAKARYA KOTA BANDUNG,Jl. Sahardjo,Sukamiskin,NEGERI,26013,SD,Arcamanik,"Jl. Sahardjo, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9071727,107.6755325","Jl. Sahardjo, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9071727,107.6755325
16,20245447.0,SDN 140 ARCAMANIK KOTA BANDUNG,Jl. Mekarsari No. 2,Sukamiskin,NEGERI,26013,SD,Arcamanik,"Jl. Mekarsari No. 2, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9282622,107.6585568","Jl. Mekarsari Kecamatan No.2, RT.09/RW.17, Babakan Sari, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40283, Indonesia",-6.9282622,107.6585568
17,20245712.0,SDN 141 LOKAJAYA KOTA BANDUNG,Jl. A.H. Nasution Km. 9 No. 7,Cisaranten Bina Harapan,NEGERI,26013,SD,Arcamanik,"Jl. A.H. Nasution Km. 9 No. 7, Kel. Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9077436,107.6875223","Jl. AH. Nasution No.KM 9, Pasir Endah, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40196, Indonesia",-6.9077436,107.6875223
18,20245754.0,SDN 180 PRAKARSA NUGRAHA KOTA BANDUNG,Jl. Parakan Saat No. 45,Cisaranten Endah,NEGERI,26013,SD,Arcamanik,"Jl. Parakan Saat No. 45, Kel. Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.936103699999999,107.6689781","Jl. Parakan Saat No.45, Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia",-6.9361037,107.6689781
19,20245804.0,SDN 181 SUKAMISKIN KOTA BANDUNG,Jl. Terusan Pesantren No 86,Sukamiskin,NEGERI,26013,SD,Arcamanik,"Jl. Terusan Pesantren No 86, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.910741199999999,107.6793777","Jl. Trs Pesantren No.86, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40294, Indonesia",-6.9107412,107.6793777
