8,No,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG,Lattitude,longitude,.1,.2,.3
,51,CIBEUNYING KIDUL,SUKAMAJU,"Jalan Citamiang No. 57, Kelurahan Sukamaju, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Sukamaju,-6.9075634,107.6348105,,,
,52,ANDIR,GARUDA,"Jl. Garuda No.28 Rt 01 Rw 02, Garuda, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Garuda 2,-6.9149189,107.5771344,,,
,53,GEDEBAGE,CIMINCRANG,"Jl. Rancanumpang No 46, Rt 03 Rw 06 Kelurahan Cimencrang, Kecamatan Gedebage, Kota Bandung, Jawa Barat",SPPG Kota Bandung Gedebage Cimincrang,-6.953433,107.7060023,,,
,54,ANTAPANI,ANTAPANI KIDUL,"Jl. Randu Sari Raya, Antapani Kidul, Antapani, Kota Bandung, Jawa Barat",SPPG Kota Bandung Antapani Antapani Kidul 3,-6.927621,107.6620111,,,
,55,MANDALAJATI,PASIR IMPUN,"Jl. Arcamanik Gg. Cempaka No. 26A Rt.001 Rw. 09, Pasir Impun, Kecamatan Mandalajati, Kota Bandung, Jawa Barat",SPPG Kota Bandung Mandalajati Pasir Impun,-6.9007179,107.6802083,,,
,56,ASTANA ANYAR,NYENGSERET,"Jl. Pajagalan No 59 Karanganyar, Kecamatan Astana Anyar, Kota Bandung, Jawa Barat",SPPG Kota Bandung Astana Anyar Nyengseret,-6.924961,107.6007013,,,
,57,CIBEUNYING KALER,CIGADUNG,"Jl. Kasungka No.3B Rt/Rw 005/001, Dapur 2, Cigadung, Cibeunying Kaler, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kaler Cigadung  2,-6.8752329,107.6280554,,,
,58,BANDUNG WETAN,TAMAN SARI,"Jl. Dr. Hatta No. 15 Kel Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Wetan Taman Sari 2,-6.9018408,107.6029569,,,
,59,ARCAMANIK,CISARANTEN BINA HARAPAN,"Jl. A.H.Nasution No.114, RW 03 RT 03, Kel Cisaranten Bina Harapan,Kec Arcamanik,Kota Bandung,Jawa Barat",SPPG Kota Bandung Arcamanik Cisbinhar,-6.9051952,107.6755137,,,
,60,SUKASARI,SARIJADI,"Jl. Cipedes Tengah 78, Sarijadi, Kecamatan Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Sarijadi 2,-6.888159,107.591114,,,
,61,LENGKONG,CIJAGRA,"Jl. Pualam No. 2 Cijagra, Kec. Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Cijagra 4,-6.940866,107.6234684,,,
,62,COBLONG,LEBAK GEDE,Jl. Dipatiukur No. 93A,SPPG Kota Bandung Coblong Lebak Gede,-6.8870552,107.6148853,,,
,63,GEDEBAGE,CISARANTEN KIDUL,Jl. Cimincrang No. 18 RT/RW. 003/004,SPPG Kota Bandung Gedebage Cisaranten Kidul,-6.9392597,107.7064967,,,
,64,REGOL,CIGERELENG,"Jl. Kembar Baru Utara No.3, Cigereleng, Kecamatan Regol, Kota Bandung, Jawa Barat.",SPPG Kota Bandung Regol Cigereleng 1,-6.9397533,107.6122703,,,
,65,CICENDO,HUSEIN SASTRANEGARA,Dapur 9 GPP 2 Pusbekmatau Lanud Husen Sastranegara Cicendo Kota Bandung,SPPG Kota Bandung Cicendo Husein Sastranegara 2,-6.9048875,107.5773594,,,
,66,SUKAJADI,CIPEDES,"Jl. Lembah Sukaresmi Iii No 22 Rt 02 Rw 10, Kel. Cipedes, Kecamatan Sukajadi, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukajadi Cipedes,-6.8804511,107.5911505,,,
,67,LENGKONG,LINGKAR SELATAN,"Jalan Terusan Galunggung No. 11 A, Kelurahan Lingkar Selatan, Kecamatan Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Lingkar Selatan 3,-6.9288025,107.6250921,,,
,68,UJUNGBERUNG,PASANGGRAHAN,"Jalan Sekedangdeur No.23, Rt002/010, Kelurahan Pasanggarahan, Kecamatan Ujung Berung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Ujungberung Pasanggrahan 2,-6.9061256,107.7177553,,,
,69,PANYILEUKAN,CIPADUNG KULON,"Jl. Sindangsari, Kelurahan Cipadung Kulon, Kecamatan Panyileukan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Panyileukan Cipadung Kulon 2,-6.9193612,107.7012958,,,
,70,BANDUNG KULON,CARINGIN,"Jl. Bojong Raya No 20, Caringin, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Caringin 2,-6.9278571,107.5723384,,,
,71,LENGKONG,TURANGGA,Jl.Reog 21 Turangga Bandung,SPPG Kota Bandung Lengkong Turangga 1,-6.9392517,107.6312325,,,
,72,LENGKONG,TURANGGA,"Jl. Salendro Utara No.20, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",SPPG Kota Bandung Lengkong Turangga 2,-6.9372742,107.6340129,,,
,73,BANDUNG KULON,WARUNG MUNCANG,"Jl. Nana Rohana No.59, Wr. Muncang, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang 4,-6.9202231,107.5774449,,,
,74,BABAKAN CIPARAY,BABAKAN CIPARAY,"Jl. Caringin No.33, Babakan Ciparay, Kecamatan Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Babakan Ciparay 2,-6.9467794,107.5870298,,,
,75,BANDUNG KULON,CIBUNTU,"Jl. Holis No 34 Rt009/003, Cibuntu, Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Cibuntu,-6.9198299,107.5756361,,,
,76,UJUNGBERUNG,PASIR ENDAH,"Jl. Cijalupang No. 42, Pasir Endah Ujung Berung, Kota Bandung Provinsi Jawa Barat",SPPG Kota Bandung Ujungberung Pasir Endah,-6.9065009,107.6891971,,,
,77,GEDEBAGE,RANCABOLANG,"Jalan Gedebage Selatan No. 56, Kelurahan Rancabolang, Kecamatan Gedebage, Kota  Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Gedebage Rancabolang,-6.9610452,107.686549,,,
,78,BANDUNG KIDUL,KUJANGSARI,"Buana Sari Raya No. 18 Kel. Kujangsari Kec. Bandung Kidul Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kidul Kujangsari,-6.9630286,107.6427858,,,
,79,RANCASARI,MANJAHLEGA,"Merkuri Utara III No.26, Kel. Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Rancasari Manjahlega 2,-6.9434692,107.6686675,,,
,80,BABAKAN CIPARAY,MARGASUKA,"Jl. Caringin No. 226, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223",SPPG Kota Bandung Babakan Ciparay Margasuka,-6.9442196,107.575688,,,
,81,BUAHBATU,MARGASARI,"Jl. Komplek Melati, Margasari, Buahbatu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Margasari 3,-6.9540928,107.6706846,,,
,82,CIBEUNYING KALER,SUKALUYU,"Jl. Sidoluhur No.18-20, Sukaluyu, Kecamatan Cibeunying Kaler, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kaler Sukaluyu,-6.8942316,107.6322783,,,
,83,SUKAJADI,SUKABUNGAH,"Jl. Terusan Sukadamai Ii No.10, Sukabungah, Kecamatan Sukajadi, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukajadi Sukabungah,-6.8946258,107.591094,,,
,84,CIBIRU,PALASARI,"Jl. Cilengkrang 2 No 179 Palasari Bandung, Palasari, Cibiru, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibiru Palasari,-6.9200586,107.7139244,,,
,85,CINAMBO,BABAKAN PENGHULU,"Jl. Gedebage Selatan No.19A, Babakan Penghulu, Cinambo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cinambo Babakan Penghulu,-6.9404404,107.6918722,,,
,86,CIBEUNYING KIDUL,PASIRLAYUNG,"Jl. Ph H Mustopha, Pasirlayung, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Pasirlayung,-6.9019349,107.6536288,,,
,87,BUAHBATU,JATI SARI,"SPPG JATI SARI 2 YAYASAN HAJARUN BERKAH ALAM, Jl. Stadion Sangkuriang No. 8/99, RT 05 RW 12, Kelurahan Padasuka, Kecamatan Cimahi Tengah, Kota Cimahi",SPPG Kota Bandung Buahbatu Jati Sari 2,-6.8687043,107.5354939,,,
,88,REGOL,ANCOL,"Jalan Pasirsalam Asri No. D6 Rt 007 Rw 005, Kelurahan Ancol, Kecamatan Regol, Kota Bandung, Jawa Barat",SPPG Kota Bandung Regol Ancol 1,-6.9435626,107.6193924,,,
,89,BATUNUNGGAL,SAMOJA,"Jl. Gatot Subroto No. 60, Kelurahan Samoja, Kecamatan Batununggal, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Batununggal Samoja,-6.9240003,107.624857,,,
,90,BOJONGLOA KALER,SUKA ASIH,"Jl. Babakan Ciparay No.123, Kel. Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231, Suka Asih, Bojongloa Kaler, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bojongloa Kaler Suka Asih 2,-6.9282759,107.5854434,,,
,91,ANDIR,KEBON JERUK,"Jl. Saritem No. 10, Kelurahan Kebon Jeruk, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Kebon Jeruk 2,-6.9169057,107.5974574,,,
,92,CIBIRU,PASIR BIRU,Jalan Cikuda No 23 RT 003 RW 005,SPPG Kota Bandung Cibiru Pasir Biru,-6.9253194,107.7798096,,,
,93,UJUNGBERUNG,PASANGGRAHAN,"Komplek Neglasari Jl. Neglasari No 8 Ujung Berung, Pasanggrahan, Kec. Ujungberung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Ujungberung Pasanggrahan 3,-6.8675996,107.6035694,,,
,94,BABAKAN CIPARAY,BABAKAN,"Jl. Sumber Mekar No. 31 ( Kp. Babakan Kav 35-5 ), Babakan, Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Babakan,-6.9335888,107.575859,,,
,95,CICENDO,PAJAJARAN,"Jl. Dr. Djunjunan Dalam Ii No.19, Pajajaran, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Pajajaran,-6.8978709,107.5877219,,,
,96,CIBEUNYING KIDUL,SUKAMAJU,"Jl. Cikaso Barat 2 No.68, Sukamaju, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Sukamaju 2,-6.9086503,107.6326892,,,
